  lpf1,   lpf2,   lpf3,   lpf4,   lpf5,   lpf6,   lpf7,   hpf1,   hpf2,   hpf3,   hpf4,   hpf5,   hpf6,   hpf7,   bpf1,   bpf2,   bpf3,   bpf4,   bpf5,   bsf1,   bsf2,   bsf3,   bsf4,   bsf5
-3.882579e-19, -7.185557e-04, -1.841715e-03, -3.549181e-03, -5.673130e-03, -7.573895e-03, -8.159336e-03, -6.069718e-03, 2.620741e-18, 1.091474e-02, 2.675328e-02, 4.660462e-02, 6.858051e-02, 9.006554e-02, 1.081645e-01, 1.202523e-01, 1.245000e-01, 1.202523e-01, 1.081645e-01, 9.006554e-02, 6.858051e-02, 4.660462e-02, 2.675328e-02, 1.091474e-02
2.620741e-18, -6.069718e-03, -8.159336e-03, -7.573895e-03, -5.673130e-03, -3.549181e-03, -1.841715e-03, -7.185557e-04, -3.882579e-19, -7.814728e-19, -1.336193e-03, -2.621205e-03, -2.733766e-03, 2.097579e-18, 5.833813e-03, 1.161271e-02, 1.128697e-02, -5.274942e-18, -2.029656e-02, -3.807638e-02, -3.589734e-02, 8.452304e-18, 6.937322e-02, 1.539442e-01
2.236157e-01, 2.505895e-01, 2.236157e-01, 1.539442e-01, 6.937322e-02, 8.452304e-18, -3.589734e-02, -3.807638e-02, -2.029656e-02, -5.274942e-18, 1.128697e-02, 1.161271e-02, 5.833813e-03, 2.097579e-18, -2.733766e-03, -2.621205e-03, -1.336193e-03, -7.814728e-19, -1.171727e-18, -1.745102e-03, -1.852709e-03, 1.478895e-03, 5.706995e-03, 3.155937e-03
-8.208043e-03, -1.474107e-02, 7.909156e-18, 2.650781e-02, 2.691298e-02, -1.941950e-02, -6.898989e-02, -3.752906e-02, 1.088102e-01, 2.920478e-01, 3.757296e-01, 2.920478e-01, 1.088102e-01, -3.752906e-02, -6.898989e-02, -1.941950e-02, 2.691298e-02, 2.650781e-02, 7.909156e-18, -1.474107e-02, -8.208043e-03, 3.155937e-03, 5.706995e-03, 1.478895e-03
-1.852709e-03, -1.745102e-03, -1.171727e-18, -1.561470e-18, -1.887878e-03, 2.244914e-18, 3.862478e-03, -4.191197e-18, -8.242467e-03, 7.104016e-18, 1.594711e-02, -1.053992e-17, -2.867656e-02, 1.397583e-17, 5.071856e-02, -1.688864e-17, -9.801591e-02, 1.883493e-17, 3.159418e-01, 5.007058e-01, 3.159418e-01, 1.883493e-17, -9.801591e-02, -1.688864e-17
5.071856e-02, 1.397583e-17, -2.867656e-02, -1.053992e-17, 1.594711e-02, 7.104016e-18, -8.242467e-03, -4.191197e-18, 3.862478e-03, 2.244914e-18, -1.887878e-03, -1.561470e-18, -1.950989e-18, -1.743414e-03, 1.850917e-03, 1.477464e-03, -5.701475e-03, 3.152885e-03, 8.200103e-03, -1.472681e-02, 1.316918e-17, 2.648217e-02, -2.688695e-02, -1.940072e-02
6.892316e-02, -3.749276e-02, -1.087050e-01, 2.917653e-01, 6.256102e-01, 2.917653e-01, -1.087050e-01, -3.749276e-02, 6.892316e-02, -1.940072e-02, -2.688695e-02, 2.648217e-02, 1.316918e-17, -1.472681e-02, 8.200103e-03, 3.152885e-03, -5.701475e-03, 1.477464e-03, 1.850917e-03, -1.743414e-03, -1.950989e-18, -2.340342e-18, -1.333870e-03, 2.616648e-03
-2.729013e-03, 6.281797e-18, 5.823670e-03, -1.159252e-02, 1.126735e-02, -1.579731e-17, -2.026127e-02, 3.801018e-02, -3.583493e-02, 2.531283e-17, 6.925261e-02, -1.536766e-01, 2.232269e-01, 7.504615e-01, 2.232269e-01, -1.536766e-01, 6.925261e-02, 2.531283e-17, -3.583493e-02, 3.801018e-02, -2.026127e-02, -1.579731e-17, 1.126735e-02, -1.159252e-02
5.823670e-03, 6.281797e-18, -2.729013e-03, 2.616648e-03, -1.333870e-03, -2.340342e-18, -2.729533e-18, -7.216563e-04, 1.849662e-03, -3.564496e-03, 5.697610e-03, -7.606577e-03, 8.194544e-03, -6.095909e-03, 1.842435e-17, 1.096184e-02, -2.686873e-02, 4.680573e-02, -6.887644e-02, 9.045418e-02, -1.086313e-01, 1.207712e-01, 8.752606e-01, 1.207712e-01
-1.086313e-01, 9.045418e-02, -6.887644e-02, 4.680573e-02, -2.686873e-02, 1.096184e-02, 1.842435e-17, -6.095909e-03, 8.194544e-03, -7.606577e-03, 5.697610e-03, -3.564496e-03, 1.849662e-03, -7.216563e-04, -2.729533e-18, -2.729533e-18, 7.216563e-04, 1.849662e-03, 3.564496e-03, 5.697610e-03, 7.606577e-03, 8.194544e-03, 6.095909e-03, -2.368845e-17
